Point2D [x = 0.5190075494253582, y = -2.945787635897745]
Point2D [x = 0.5190252831205828, y = -2.9455410253838705]
Point2D [x = 0.5190436175135756, y = -2.9452792576530373]
Point2D [x = 0.5190626087043403, y = -2.9450014076867976]
Point2D [x = 0.5190823154655875, y = -2.944706493995065]
Point2D [x = 0.5191027994363198, y = -2.9443934751996523]
Point2D [x = 0.5191241253260153, y = -2.9440612464137286]
Point2D [x = 0.5191463611300985, y = -2.943708635405385]
Point2D [x = 0.5191695783574247, y = -2.9433343985328704]
Point2D [x = 0.5191938522705459, y = -2.9429372164383825]
Point2D [x = 0.5192192621395701, y = -2.9425156894866222]
Point2D [x = 0.5192458915104724, y = -2.942068332933583]
Point2D [x = 0.5192738284887652, y = -2.941593571810308]
Point2D [x = 0.5193031660394865, y = -2.94108973550557]
Point2D [x = 0.5193340023045194, y = -2.9405550520306076]
Point2D [x = 0.5193664409383173, y = -2.9399876419482434]
Point2D [x = 0.5194005914631639, y = -2.939385511947826]
Point2D [x = 0.5194365696451688, y = -2.938746548046565]
Point2D [x = 0.519474497892264, y = -2.938068508396919]
Point2D [x = 0.5195145056755364, y = -2.937349015678764]
Point2D [x = 0.5195567299753132, y = -2.936585549054124]
Point2D [x = 0.5196013157534909, y = -2.9357754356612897]
Point2D [x = 0.5196484164536851, y = -2.9349158416241683]
Point2D [x = 0.5196981945308681, y = -2.9340037625517446]
Point2D [x = 0.5197508220122514, y = -2.93303601350155]
Point2D [x = 0.5198064810912693, y = -2.932009218380075]
Point2D [x = 0.519865364756622, y = -2.930919798752111]
Point2D [x = 0.5199276774584459, y = -2.9297639620300844]
Point2D [x = 0.5199936358137871, y = -2.928537689013577]
Point2D [x = 0.5200634693536776, y = -2.9272367207483754]
Point2D [x = 0.5201374213142332, y = -2.925856544673659]
Point2D [x = 0.5202157494743227, y = -2.924392380025241]
Point2D [x = 0.5202987270424926, y = -2.9228391624622234]
Point2D [x = 0.5203866435959724, y = -2.921191527883983]
Point2D [x = 0.5204798060747299, y = -2.919443795404129]
Point2D [x = 0.5205785398337002, y = -2.9175899494479753]
Point2D [x = 0.5206831897564684, y = -2.9156236209402024]
Point2D [x = 0.5207941214338495, y = -2.9135380675497626]
Point2D [x = 0.5209117224109769, y = -2.911326152959772]
